enrollee_id,enrolled_university,education_level,major_discipline
16814,no_enrollment,Graduate,STEM
19249,no_enrollment,Graduate,STEM
9475,no_enrollment,Graduate,STEM
4865,Part time course,Phd,STEM
20881,no_enrollment,Masters,STEM
21563,no_enrollment,Masters,STEM
25114,,Masters,STEM
26002,Full time course,Graduate,STEM
8528,Part time course,Graduate,STEM
6141,no_enrollment,Graduate,STEM
27667,Full time course,Graduate,STEM
2821,no_enrollment,Masters,STEM
21216,no_enrollment,Graduate,STEM
25495,no_enrollment,Graduate,STEM
20791,Full time course,Graduate,STEM
28015,no_enrollment,Graduate,STEM
10685,Full time course,High School,
405,no_enrollment,Masters,STEM
13891,no_enrollment,Phd,STEM
33050,no_enrollment,Graduate,STEM
399,no_enrollment,Graduate,STEM
8202,no_enrollment,Graduate,STEM
8751,no_enrollment,Graduate,STEM
20744,Full time course,High School,
25380,no_enrollment,Masters,STEM
24617,Full time course,High School,
12509,no_enrollment,Graduate,STEM
25473,Full time course,High School,
13083,no_enrollment,Masters,STEM
12454,Full time course,Masters,STEM
3500,Part time course,High School,
15922,no_enrollment,Graduate,STEM
6685,no_enrollment,Graduate,STEM
28838,no_enrollment,Graduate,STEM
24082,no_enrollment,Masters,STEM
24846,Full time course,Graduate,STEM
1020,no_enrollment,Graduate,STEM
6189,no_enrollment,Graduate,Business Degree
16994,Part time course,High School,
13135,no_enrollment,Masters,STEM
14578,Part time course,Graduate,STEM
20732,no_enrollment,Graduate,STEM
16496,,Graduate,STEM
16537,no_enrollment,Masters,STEM
17358,no_enrollment,Masters,STEM
21933,no_enrollment,Graduate,STEM
7342,no_enrollment,Graduate,STEM
5630,Full time course,Graduate,STEM
24152,no_enrollment,Masters,STEM
17762,no_enrollment,High School,
4310,no_enrollment,Graduate,STEM
5142,no_enrollment,Primary School,
22319,no_enrollment,Graduate,STEM
30912,no_enrollment,Primary School,
20976,Part time course,Graduate,STEM
13150,no_enrollment,Phd,STEM
12206,no_enrollment,High School,
9407,no_enrollment,High School,
13152,no_enrollment,Graduate,STEM
1069,no_enrollment,Graduate,STEM
25418,Full time course,Graduate,STEM
22689,no_enrollment,Graduate,STEM
5104,no_enrollment,Masters,STEM
13994,no_enrollment,Graduate,STEM
27064,no_enrollment,Graduate,STEM
14598,no_enrollment,Graduate,STEM
9571,Part time course,Graduate,STEM
30854,no_enrollment,Graduate,STEM
25290,no_enrollment,High School,
29640,no_enrollment,Graduate,STEM
17519,no_enrollment,Graduate,STEM
12111,no_enrollment,Graduate,STEM
6085,Full time course,Graduate,STEM
27277,no_enrollment,Graduate,STEM
31692,Full time course,Graduate,STEM
6052,no_enrollment,Masters,STEM
18161,Full time course,Graduate,STEM
12934,Part time course,Graduate,STEM
30400,no_enrollment,Graduate,STEM
26419,Full time course,Graduate,STEM
4188,no_enrollment,Graduate,STEM
12117,no_enrollment,Graduate,STEM
28847,no_enrollment,Masters,STEM
30472,Full time course,,
32534,Full time course,Graduate,STEM
22395,no_enrollment,Masters,STEM
4876,no_enrollment,Masters,STEM
25182,no_enrollment,High School,
26135,Full time course,High School,
7517,no_enrollment,High School,
2793,no_enrollment,Graduate,STEM
25174,no_enrollment,Graduate,STEM
5593,Full time course,Graduate,STEM
14003,Part time course,Graduate,STEM
33057,no_enrollment,Graduate,STEM
30484,no_enrollment,Masters,STEM
14688,Full time course,Masters,STEM
25459,no_enrollment,Primary School,
23657,no_enrollment,Primary School,
20322,no_enrollment,Phd,STEM
22194,no_enrollment,Graduate,STEM
31401,no_enrollment,Masters,STEM
14914,no_enrollment,Masters,STEM
20376,no_enrollment,Graduate,STEM
27530,no_enrollment,Graduate,STEM
24701,no_enrollment,Graduate,STEM
6790,Full time course,Masters,STEM
10102,no_enrollment,Graduate,STEM
10338,Part time course,Masters,STEM
15701,no_enrollment,Graduate,STEM
21218,no_enrollment,Graduate,Humanities
1586,no_enrollment,High School,
9189,no_enrollment,High School,
13788,no_enrollment,,
10752,no_enrollment,Masters,STEM
28406,no_enrollment,Graduate,No Major
26320,Part time course,High School,
17460,no_enrollment,Graduate,STEM
18657,no_enrollment,Graduate,STEM
9384,no_enrollment,Masters,STEM
4269,no_enrollment,Graduate,STEM
14935,no_enrollment,High School,
28033,Full time course,Graduate,STEM
1568,no_enrollment,Graduate,STEM
15465,no_enrollment,High School,
26233,,Graduate,STEM
24729,no_enrollment,Graduate,STEM
29440,no_enrollment,Graduate,STEM
32652,Full time course,Masters,STEM
28556,no_enrollment,Primary School,
12875,Full time course,Masters,STEM
21078,no_enrollment,Graduate,STEM
30331,no_enrollment,Graduate,STEM
5899,no_enrollment,Primary School,
22787,no_enrollment,Graduate,STEM
27435,Part time course,Graduate,STEM
2855,no_enrollment,Masters,STEM
18385,,Masters,STEM
27866,no_enrollment,Graduate,STEM
7328,no_enrollment,Graduate,STEM
24807,no_enrollment,Graduate,STEM
27113,no_enrollment,Graduate,STEM
6008,no_enrollment,High School,
760,no_enrollment,Graduate,Humanities
2990,no_enrollment,Masters,STEM
28229,Part time course,Graduate,STEM
4162,Full time course,Graduate,STEM
27326,Full time course,High School,
604,,,
2194,no_enrollment,Graduate,STEM
21564,Full time course,Masters,STEM
17432,no_enrollment,Graduate,STEM
13952,no_enrollment,Masters,STEM
1988,no_enrollment,Graduate,STEM
23691,Full time course,Masters,STEM
10481,Full time course,Graduate,Business Degree
8540,no_enrollment,Graduate,STEM
8806,no_enrollment,Graduate,STEM
15468,no_enrollment,Masters,STEM
32747,Full time course,Graduate,No Major
1297,no_enrollment,Graduate,STEM
4075,Full time course,Graduate,STEM
12772,no_enrollment,Masters,STEM
22517,no_enrollment,Graduate,STEM
26388,Full time course,Masters,STEM
30676,no_enrollment,Masters,STEM
18376,no_enrollment,Graduate,STEM
10970,no_enrollment,Masters,STEM
29961,no_enrollment,Phd,STEM
5136,no_enrollment,Phd,Humanities
20369,Full time course,Graduate,STEM
23505,no_enrollment,Graduate,STEM
11751,no_enrollment,Graduate,STEM
12038,Full time course,Masters,
28590,,Masters,STEM
32699,no_enrollment,High School,
10370,no_enrollment,Masters,STEM
4095,no_enrollment,Masters,STEM
5340,no_enrollment,Graduate,Business Degree
9217,no_enrollment,Graduate,STEM
15294,Full time course,Graduate,STEM
23901,,,
5673,no_enrollment,Graduate,STEM
25421,no_enrollment,Graduate,STEM
20698,no_enrollment,Graduate,STEM
41,no_enrollment,High School,
23636,Full time course,Graduate,STEM
9387,,High School,
21466,no_enrollment,Graduate,STEM
9515,no_enrollment,Graduate,Other
20743,no_enrollment,Masters,STEM
25766,Full time course,Masters,STEM
4626,no_enrollment,High School,
4642,no_enrollment,Graduate,STEM
16178,no_enrollment,Graduate,STEM
1829,no_enrollment,Graduate,STEM
2377,no_enrollment,Phd,STEM
8287,Full time course,Graduate,STEM
10529,no_enrollment,Graduate,Arts
30608,Full time course,Graduate,STEM
27546,no_enrollment,Primary School,
32324,no_enrollment,Graduate,STEM
8442,no_enrollment,Graduate,STEM
8151,Full time course,Masters,STEM
15796,no_enrollment,Masters,STEM
9420,no_enrollment,,
17083,Full time course,Graduate,STEM
16414,no_enrollment,Graduate,STEM
32340,no_enrollment,Graduate,STEM
18462,no_enrollment,Masters,STEM
7996,no_enrollment,Graduate,STEM
30636,Full time course,Graduate,STEM
29982,no_enrollment,Masters,Humanities
29217,no_enrollment,Graduate,STEM
18454,no_enrollment,Graduate,STEM
22508,Part time course,Graduate,STEM
25969,no_enrollment,Graduate,STEM
28080,no_enrollment,Graduate,Arts
21134,Part time course,Graduate,STEM
30925,Full time course,Graduate,STEM
29000,no_enrollment,Masters,STEM
26925,Full time course,Graduate,STEM
7696,no_enrollment,Graduate,STEM
25525,Full time course,High School,
21989,no_enrollment,Graduate,STEM
10984,no_enrollment,Masters,Humanities
26543,Part time course,Graduate,STEM
32043,Full time course,Masters,STEM
15343,no_enrollment,Graduate,STEM
30967,Full time course,Graduate,STEM
30191,no_enrollment,Graduate,STEM
13537,no_enrollment,Graduate,STEM
23185,no_enrollment,Graduate,STEM
1434,no_enrollment,Graduate,STEM
9600,no_enrollment,Graduate,STEM
25963,no_enrollment,Graduate,STEM
5141,no_enrollment,Graduate,STEM
657,no_enrollment,Graduate,STEM
29991,no_enrollment,Graduate,Arts
18759,no_enrollment,Graduate,STEM
23081,Full time course,High School,
5731,no_enrollment,Graduate,STEM
20135,no_enrollment,Graduate,STEM
18620,Full time course,Graduate,STEM
24226,no_enrollment,Graduate,STEM
10092,no_enrollment,Graduate,STEM
1950,Part time course,Masters,STEM
7909,no_enrollment,Primary School,
11966,no_enrollment,Masters,Humanities
10017,no_enrollment,Masters,STEM
28391,no_enrollment,Graduate,STEM
361,no_enrollment,Graduate,STEM
20797,no_enrollment,Phd,STEM
25041,no_enrollment,Graduate,STEM
18476,no_enrollment,Masters,STEM
26668,no_enrollment,Masters,STEM
18586,no_enrollment,Masters,STEM
17783,Full time course,Graduate,STEM
13256,no_enrollment,Graduate,STEM
6283,no_enrollment,Graduate,Other
2586,no_enrollment,Masters,STEM
15279,,,
28468,no_enrollment,Masters,STEM
17941,no_enrollment,Masters,Business Degree
23384,no_enrollment,Graduate,STEM
4978,Part time course,Masters,STEM
28641,no_enrollment,Graduate,STEM
28915,no_enrollment,Graduate,STEM
33367,no_enrollment,Graduate,STEM
14999,no_enrollment,Masters,STEM
3999,no_enrollment,Masters,STEM
9860,no_enrollment,Graduate,No Major
31153,no_enrollment,Graduate,STEM
26616,no_enrollment,Graduate,STEM
24366,no_enrollment,Graduate,STEM
19986,no_enrollment,Graduate,STEM
17786,no_enrollment,,
1396,no_enrollment,Graduate,STEM
22954,Full time course,Graduate,STEM
14775,no_enrollment,High School,
1563,no_enrollment,Graduate,STEM
29612,Full time course,Graduate,STEM
23856,no_enrollment,Graduate,STEM
30441,no_enrollment,Graduate,Humanities
22742,no_enrollment,Graduate,STEM
30265,Full time course,High School,
11545,no_enrollment,Graduate,STEM
2404,no_enrollment,Graduate,STEM
7243,no_enrollment,High School,
19555,Full time course,Graduate,STEM
20486,no_enrollment,Graduate,STEM
17400,Full time course,Graduate,STEM
22005,Part time course,Graduate,STEM
10612,no_enrollment,Masters,STEM
23365,no_enrollment,Graduate,STEM
13288,no_enrollment,Graduate,STEM
23430,no_enrollment,Graduate,STEM
30404,no_enrollment,Graduate,STEM
8930,no_enrollment,Graduate,STEM
3920,no_enrollment,Graduate,STEM
29841,Full time course,High School,
16289,no_enrollment,Graduate,STEM
19889,no_enrollment,Graduate,STEM
11780,no_enrollment,Graduate,STEM
8489,no_enrollment,,
32581,no_enrollment,Graduate,STEM
22420,no_enrollment,Graduate,Humanities
28415,no_enrollment,Graduate,STEM
32260,no_enrollment,Graduate,STEM
21603,no_enrollment,Graduate,STEM
19702,Part time course,High School,
17665,no_enrollment,Graduate,STEM
19612,no_enrollment,Masters,STEM
18905,Full time course,Graduate,STEM
824,no_enrollment,Graduate,STEM
27275,no_enrollment,Graduate,STEM
14217,no_enrollment,Masters,STEM
13209,no_enrollment,,
9414,no_enrollment,Graduate,STEM
33242,Part time course,Graduate,STEM
24224,no_enrollment,Graduate,STEM
9684,no_enrollment,Masters,STEM
8584,no_enrollment,Phd,STEM
27003,no_enrollment,Masters,STEM
17840,Full time course,High School,
29723,Full time course,Graduate,STEM
33181,no_enrollment,Masters,STEM
29288,no_enrollment,Graduate,STEM
3004,no_enrollment,Masters,Humanities
5828,no_enrollment,Graduate,STEM
22211,no_enrollment,Graduate,Other
28193,Full time course,Graduate,STEM
26291,no_enrollment,Graduate,STEM
11739,Part time course,Graduate,STEM
20878,no_enrollment,Graduate,STEM
31156,no_enrollment,High School,
21878,no_enrollment,Graduate,Other
7009,no_enrollment,Graduate,STEM
31013,no_enrollment,Graduate,Humanities
7145,no_enrollment,Masters,STEM
2690,no_enrollment,Graduate,STEM
28829,Full time course,Graduate,STEM
28477,Full time course,Masters,STEM
17107,Full time course,Graduate,STEM
17125,,,
5911,no_enrollment,Graduate,STEM
24069,no_enrollment,Graduate,STEM
20803,no_enrollment,Masters,Other
3752,no_enrollment,Graduate,STEM
32925,no_enrollment,Masters,STEM
27494,no_enrollment,Masters,STEM
19818,Full time course,Graduate,STEM
22581,Full time course,High School,
2629,Full time course,Graduate,STEM
20143,no_enrollment,Masters,STEM
2478,no_enrollment,Graduate,STEM
25957,Full time course,Graduate,STEM
24981,no_enrollment,Graduate,STEM
27624,no_enrollment,Primary School,
32355,no_enrollment,Graduate,STEM
12140,no_enrollment,Masters,Humanities
9743,no_enrollment,Graduate,STEM
3827,no_enrollment,Masters,STEM
9338,Full time course,Graduate,STEM
10386,no_enrollment,Graduate,STEM
14901,no_enrollment,Masters,STEM
6909,no_enrollment,Masters,STEM
20751,no_enrollment,Graduate,STEM
13597,no_enrollment,Masters,STEM
4498,no_enrollment,Graduate,STEM
29508,no_enrollment,Masters,STEM
5205,,Graduate,STEM
32947,Full time course,Graduate,STEM
4766,no_enrollment,High School,
428,no_enrollment,Graduate,STEM
16219,Full time course,Graduate,STEM
21843,no_enrollment,Graduate,STEM
17162,no_enrollment,Graduate,STEM
15259,no_enrollment,Graduate,STEM
14487,Full time course,Graduate,Other
8055,no_enrollment,Graduate,STEM
4922,no_enrollment,Primary School,
20653,Full time course,Graduate,STEM
707,no_enrollment,Graduate,STEM
1131,no_enrollment,Graduate,STEM
22219,no_enrollment,Graduate,STEM
10454,no_enrollment,Graduate,Humanities
14740,Full time course,Masters,STEM
12183,Full time course,Graduate,STEM
22052,no_enrollment,Masters,STEM
8677,no_enrollment,High School,
29432,no_enrollment,Graduate,STEM
6812,no_enrollment,Graduate,STEM
14890,no_enrollment,Masters,Business Degree
9569,Full time course,Graduate,STEM
6389,no_enrollment,Masters,Humanities
14622,no_enrollment,Masters,STEM
24586,no_enrollment,Masters,STEM
9463,no_enrollment,Graduate,Humanities
6379,no_enrollment,Masters,STEM
30514,Part time course,Graduate,STEM
12349,no_enrollment,Graduate,STEM
6995,no_enrollment,High School,
13311,Full time course,Graduate,STEM
26275,no_enrollment,Masters,Humanities
30814,no_enrollment,Graduate,Other
20823,no_enrollment,Masters,STEM
18810,Full time course,High School,
79,no_enrollment,Graduate,STEM
16177,Full time course,Graduate,STEM
16141,no_enrollment,Graduate,STEM
5417,no_enrollment,Graduate,STEM
24280,no_enrollment,Graduate,STEM
9393,,High School,
22112,no_enrollment,Graduate,STEM
11003,Full time course,Masters,STEM
12631,no_enrollment,Graduate,STEM
6326,no_enrollment,Graduate,STEM
24870,no_enrollment,Masters,STEM
18170,no_enrollment,Graduate,STEM
33254,no_enrollment,Masters,STEM
11821,no_enrollment,Graduate,STEM
24937,Full time course,Graduate,STEM
15837,no_enrollment,Graduate,Other
31083,no_enrollment,Masters,STEM
15436,Part time course,Graduate,STEM
13102,no_enrollment,Masters,STEM
30277,Full time course,Masters,STEM
4475,Full time course,Masters,STEM
4072,no_enrollment,Graduate,Humanities
11085,no_enrollment,Graduate,No Major
3878,Full time course,Masters,STEM
33104,no_enrollment,Graduate,STEM
17304,no_enrollment,Masters,STEM
23719,Full time course,Graduate,STEM
22348,Full time course,Graduate,STEM
18320,,Graduate,STEM
27959,no_enrollment,Graduate,STEM
11655,no_enrollment,Masters,STEM
26713,no_enrollment,Graduate,STEM
3248,no_enrollment,High School,
32877,no_enrollment,Graduate,STEM
25363,no_enrollment,Graduate,STEM
22573,no_enrollment,Graduate,STEM
440,no_enrollment,Masters,STEM
27697,no_enrollment,Masters,STEM
10792,,Graduate,STEM
30509,no_enrollment,Graduate,Other
28149,no_enrollment,Graduate,STEM
24708,Full time course,Masters,STEM
32836,no_enrollment,,
16372,Full time course,Masters,STEM
33292,no_enrollment,Graduate,STEM
32619,no_enrollment,Graduate,Humanities
29606,no_enrollment,High School,
11430,no_enrollment,Primary School,
10967,no_enrollment,Masters,STEM
17375,no_enrollment,Graduate,STEM
26025,Full time course,Graduate,STEM
19795,Full time course,Graduate,STEM
10554,no_enrollment,Graduate,STEM
8311,no_enrollment,Masters,STEM
5801,no_enrollment,High School,
6010,no_enrollment,Graduate,STEM
31210,no_enrollment,Graduate,STEM
24714,no_enrollment,Graduate,Other
5203,Full time course,Graduate,STEM
7193,Full time course,High School,
1695,no_enrollment,Graduate,STEM
16625,no_enrollment,Masters,STEM
23714,no_enrollment,Graduate,STEM
21967,no_enrollment,Masters,STEM
33342,Full time course,High School,
29737,no_enrollment,Graduate,STEM
9846,no_enrollment,Graduate,STEM
3965,no_enrollment,Graduate,STEM
15430,no_enrollment,Graduate,Business Degree
20911,Full time course,Graduate,STEM
6724,no_enrollment,Graduate,STEM
21442,no_enrollment,Graduate,STEM
12716,no_enrollment,Masters,Humanities
18,no_enrollment,Graduate,STEM
26402,no_enrollment,Graduate,STEM
26214,Full time course,Masters,Humanities
21033,no_enrollment,Masters,STEM
19073,no_enrollment,Graduate,STEM
6775,no_enrollment,High School,
26126,no_enrollment,Graduate,Humanities
28673,no_enrollment,Graduate,STEM
15012,Full time course,Graduate,STEM
10930,no_enrollment,,
7610,no_enrollment,Graduate,Business Degree
12931,Full time course,Graduate,STEM
6502,Part time course,Graduate,STEM
29945,no_enrollment,Graduate,STEM
14523,no_enrollment,Graduate,STEM
15470,no_enrollment,Graduate,STEM
2485,no_enrollment,Masters,STEM
24355,no_enrollment,Phd,STEM
6407,Full time course,High School,
14425,,Graduate,STEM
20116,no_enrollment,Graduate,STEM
27786,no_enrollment,High School,
15868,Full time course,Graduate,STEM
26755,Full time course,High School,
10285,no_enrollment,Graduate,STEM
18289,Full time course,Masters,STEM
13687,Full time course,High School,
27535,Full time course,High School,
25850,Full time course,Graduate,STEM
12830,no_enrollment,Graduate,STEM
17967,no_enrollment,Graduate,STEM
12217,Part time course,Graduate,STEM
19215,no_enrollment,Graduate,Humanities
27139,no_enrollment,Graduate,STEM
32862,no_enrollment,High School,
24887,Full time course,High School,
19378,no_enrollment,Graduate,STEM
29769,Full time course,High School,
18907,no_enrollment,Graduate,Business Degree
23572,no_enrollment,Phd,STEM
7991,Full time course,Graduate,STEM
6448,Part time course,Graduate,STEM
30878,no_enrollment,Graduate,STEM
4606,no_enrollment,High School,
4367,no_enrollment,Graduate,STEM
27114,Full time course,High School,
8023,no_enrollment,Masters,STEM
3708,no_enrollment,Graduate,STEM
25403,no_enrollment,Graduate,Humanities
20140,no_enrollment,Graduate,STEM
26455,Full time course,Graduate,STEM
19618,no_enrollment,High School,
18497,Part time course,High School,
31798,no_enrollment,Graduate,STEM
30076,no_enrollment,High School,
32953,,,
4302,no_enrollment,Graduate,STEM
4980,no_enrollment,Masters,STEM
7951,no_enrollment,Graduate,No Major
15106,no_enrollment,Graduate,STEM
15211,no_enrollment,Graduate,STEM
4635,,,
17529,no_enrollment,Graduate,STEM
8852,no_enrollment,Graduate,Business Degree
1794,no_enrollment,Graduate,STEM
13720,no_enrollment,High School,
11292,no_enrollment,Graduate,STEM
24062,no_enrollment,Graduate,STEM
33188,no_enrollment,Masters,STEM
22896,Full time course,Graduate,STEM
17781,no_enrollment,Graduate,STEM
10602,Full time course,Masters,STEM
28433,no_enrollment,Graduate,Business Degree
27490,no_enrollment,Graduate,STEM
31489,no_enrollment,Masters,STEM
15297,Full time course,,
21585,Full time course,Graduate,Other
11651,,High School,
26674,no_enrollment,Graduate,STEM
13870,Full time course,High School,
24222,no_enrollment,Phd,STEM
24054,Full time course,Graduate,STEM
15241,no_enrollment,Graduate,Other
14204,no_enrollment,Graduate,STEM
18130,no_enrollment,Masters,Humanities
28603,no_enrollment,Graduate,STEM
23984,no_enrollment,High School,
26129,no_enrollment,Masters,STEM
16438,no_enrollment,Phd,STEM
18892,Full time course,Masters,STEM
3498,Full time course,Graduate,STEM
32720,Part time course,Masters,STEM
4828,no_enrollment,Masters,STEM
29201,no_enrollment,Graduate,STEM
33126,no_enrollment,Graduate,STEM
11950,no_enrollment,Masters,STEM
24127,no_enrollment,Masters,STEM
13149,,,
23157,no_enrollment,Graduate,STEM
18791,no_enrollment,Graduate,STEM
2181,no_enrollment,Masters,STEM
23931,no_enrollment,Primary School,
16466,no_enrollment,Masters,STEM
33358,no_enrollment,Masters,STEM
17268,no_enrollment,Graduate,STEM
